PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),Cluster_Assignment
1267.0,1276.0,676.0,2059.0,1570.0,1
1224.0,1228.0,711.0,1972.0,1380.0,1
1247.0,1257.0,701.0,2000.0,1337.0,1
1183.0,1241.0,721.0,1937.0,1308.0,1
1078.0,1116.0,815.0,1761.0,1013.0,2
1076.0,1012.0,894.0,1665.0,816.0,2
1052.0,1019.0,896.0,1610.0,836.0,2
1287.0,1340.0,699.0,2008.0,1267.0,1
1460.0,1493.0,586.0,2288.0,1649.0,1
1357.0,1445.0,620.0,2195.0,1622.0,1
1234.0,1257.0,695.0,2019.0,1349.0,1
1151.0,1154.0,747.0,1894.0,1186.0,2
1065.0,1038.0,805.0,1763.0,1026.0,2
984.0,929.0,917.0,1654.0,817.0,2
938.0,881.0,956.0,1607.0,662.0,2
878.0,774.0,1065.0,1527.0,552.0,0
919.0,807.0,967.0,1598.0,775.0,2
836.0,709.0,1085.0,1498.0,646.0,0
814.0,673.0,1138.0,1488.0,647.0,0
872.0,782.0,1001.0,1607.0,874.0,0
949.0,929.0,887.0,1711.0,973.0,2
1227.0,1292.0,661.0,2087.0,1327.0,1
1360.0,1561.0,545.0,2525.0,1626.0,1
1318.0,1420.0,586.0,2316.0,1640.0,1
1196.0,1208.0,705.0,1981.0,1341.0,1
1152.0,1102.0,770.0,1868.0,1113.0,2
1220.0,1157.0,715.0,1935.0,1224.0,1
1182.0,1120.0,735.0,1893.0,1095.0,2
1167.0,1210.0,719.0,1944.0,1152.0,1
1142.0,1109.0,782.0,1789.0,1047.0,2
1157.0,1105.0,779.0,1792.0,982.0,2
1274.0,1329.0,670.0,2054.0,1320.0,1
1372.0,1451.0,631.0,2183.0,1541.0,1
1373.0,1440.0,635.0,2183.0,1510.0,1
1290.0,1393.0,655.0,2146.0,1511.0,1
1056.0,1051.0,826.0,1758.0,1078.0,2
1116.0,1123.0,768.0,1826.0,1235.0,2
1106.0,1122.0,783.0,1813.0,1202.0,2
1018.0,992.0,839.0,1710.0,1103.0,2
919.0,880.0,915.0,1628.0,1013.0,2
807.0,681.0,1092.0,1435.0,765.0,0
787.0,620.0,1176.0,1403.0,618.0,0
789.0,623.0,1146.0,1407.0,663.0,0
825.0,709.0,1050.0,1491.0,813.0,0
912.0,858.0,923.0,1608.0,894.0,2
1339.0,1425.0,595.0,2264.0,1495.0,1
1355.0,1526.0,567.0,2397.0,1658.0,1
1250.0,1336.0,632.0,2104.0,1506.0,1
1105.0,1079.0,788.0,1774.0,1168.0,2
1076.0,1055.0,817.0,1734.0,993.0,2
1096.0,1087.0,801.0,1759.0,910.0,2
1093.0,1094.0,797.0,1769.0,912.0,2
1027.0,1066.0,837.0,1689.0,814.0,2
1026.0,1085.0,848.0,1654.0,1341.0,2
1015.0,1062.0,877.0,1668.0,847.0,2
1028.0,1155.0,832.0,1691.0,925.0,2
1074.0,1270.0,776.0,1833.0,1087.0,2
1124.0,1289.0,765.0,1863.0,1132.0,2
1111.0,1256.0,765.0,1851.0,1197.0,2
1062.0,1183.0,794.0,1731.0,1229.0,2
1072.0,1148.0,805.0,1683.0,1171.0,2
936.0,871.0,990.0,1430.0,921.0,2
988.0,937.0,894.0,1543.0,1008.0,2
924.0,839.0,957.0,1453.0,849.0,2
839.0,725.0,1052.0,1368.0,668.0,0
826.0,666.0,1109.0,1349.0,641.0,0
853.0,716.0,1047.0,1414.0,707.0,0
918.0,810.0,936.0,1524.0,939.0,2
890.0,791.0,950.0,1489.0,886.0,0
865.0,752.0,996.0,1451.0,837.0,0
1003.0,937.0,850.0,1622.0,1005.0,2
1123.0,1088.0,746.0,1789.0,1191.0,2
1146.0,1119.0,746.0,1823.0,1200.0,2
1110.0,1021.0,820.0,1724.0,971.0,2
1126.0,979.0,849.0,1700.0,907.0,2
1067.0,962.0,860.0,1658.0,802.0,2
1008.0,866.0,937.0,1573.0,695.0,2
1062.0,924.0,892.0,1683.0,777.0,2
1082.0,939.0,869.0,1678.0,818.0,2
1042.0,897.0,901.0,1605.0,681.0,2
1022.0,823.0,964.0,1599.0,631.0,2
1024.0,828.0,936.0,1601.0,641.0,2
1048.0,828.0,922.0,1618.0,683.0,2
1153.0,1022.0,765.0,1806.0,1013.0,2
1195.0,1077.0,731.0,1860.0,1151.0,2
1245.0,1091.0,734.0,1870.0,1134.0,2
1086.0,946.0,847.0,1729.0,945.0,2
972.0,804.0,955.0,1620.0,734.0,2
880.0,677.0,1109.0,1500.0,554.0,0
906.0,719.0,1050.0,1561.0,612.0,0
879.0,658.0,1121.0,1511.0,564.0,0
842.0,597.0,1237.0,1444.0,512.0,0
797.0,543.0,1466.0,1347.0,410.0,0
796.0,526.0,1534.0,1322.0,392.0,0
767.0,520.0,1526.0,1287.0,377.0,0
784.0,562.0,1460.0,1286.0,389.0,0
811.0,622.0,1315.0,1307.0,432.0,0
838.0,620.0,1292.0,1325.0,502.0,0
821.0,632.0,1295.0,1302.0,469.0,0
793.0,579.0,1380.0,1303.0,427.0,0
794.0,567.0,1426.0,1306.0,406.0,0
821.0,614.0,1309.0,1350.0,430.0,0
849.0,628.0,1274.0,1379.0,453.0,0
852.0,651.0,1246.0,1387.0,470.0,0
847.0,645.0,1245.0,1364.0,480.0,0
849.0,682.0,1215.0,1378.0,472.0,0
865.0,687.0,1191.0,1388.0,521.0,0
848.0,689.0,1180.0,1403.0,520.0,0
807.0,606.0,1340.0,1337.0,440.0,0
814.0,627.0,1305.0,1351.0,446.0,0
785.0,582.0,1377.0,1311.0,417.0,0
748.0,515.0,1580.0,1261.0,381.0,0
716.0,461.0,1795.0,1235.0,350.0,0
708.0,437.0,1941.0,1227.0,334.0,0
724.0,448.0,1917.0,1256.0,346.0,0
748.0,477.0,1703.0,1301.0,380.0,0
888.0,683.0,1196.0,1483.0,563.0,0
973.0,858.0,941.0,1584.0,779.0,2
993.0,927.0,886.0,1665.0,842.0,2
929.0,825.0,992.0,1561.0,692.0,0
962.0,858.0,941.0,1613.0,779.0,2
906.0,786.0,1026.0,1538.0,633.0,0
915.0,776.0,1029.0,1544.0,616.0,0
928.0,787.0,1012.0,1585.0,606.0,0
855.0,698.0,1134.0,1449.0,526.0,0
920.0,783.0,1046.0,1550.0,588.0,0
917.0,842.0,985.0,1563.0,674.0,0
1072.0,1057.0,812.0,1820.0,885.0,2
1000.0,985.0,846.0,1726.0,879.0,2
914.0,845.0,972.0,1583.0,703.0,0
888.0,799.0,1023.0,1531.0,637.0,0
851.0,718.0,1134.0,1471.0,561.0,0
870.0,749.0,1096.0,1487.0,612.0,0
883.0,773.0,1062.0,1514.0,621.0,0
886.0,767.0,1055.0,1532.0,702.0,0
792.0,637.0,1249.0,1400.0,559.0,0
754.0,535.0,1490.0,1335.0,435.0,0
732.0,503.0,1525.0,1321.0,441.0,0
770.0,586.0,1326.0,1392.0,527.0,0
797.0,654.0,1097.0,1450.0,720.0,0
915.0,877.0,897.0,1651.0,937.0,2
1287.0,1423.0,610.0,2319.0,1482.0,1
1195.0,1424.0,609.0,2244.0,1489.0,1
1003.0,1009.0,823.0,1710.0,1015.0,2
1037.0,1046.0,838.0,1763.0,1004.0,2
1114.0,1181.0,747.0,1928.0,1129.0,2
1085.0,1171.0,767.0,1863.0,1068.0,2
1024.0,1087.0,824.0,1745.0,924.0,2
1017.0,1057.0,859.0,1698.0,861.0,2
1053.0,1173.0,785.0,1808.0,981.0,2
1065.0,1198.0,766.0,1852.0,1043.0,2
1136.0,1250.0,722.0,1940.0,1124.0,2
1100.0,1202.0,732.0,1856.0,1004.0,2
1143.0,1319.0,673.0,2001.0,1190.0,1
1083.0,1157.0,742.0,1884.0,1072.0,2
1009.0,1034.0,806.0,1763.0,925.0,2
969.0,983.0,853.0,1680.0,862.0,2
1029.0,993.0,816.0,1728.0,969.0,2
1064.0,956.0,812.0,1770.0,932.0,2
986.0,853.0,865.0,1645.0,794.0,2
872.0,709.0,1034.0,1522.0,599.0,0
840.0,654.0,1124.0,1489.0,614.0,0
812.0,626.0,1134.0,1471.0,625.0,0
810.0,612.0,1163.0,1462.0,595.0,0
936.0,849.0,882.0,1640.0,886.0,2
1244.0,1265.0,640.0,2084.0,1257.0,1
1440.0,1556.0,517.0,2530.0,1561.0,1
1180.0,1145.0,713.0,1929.0,1191.0,2
1126.0,1058.0,765.0,1879.0,1061.0,2
1005.0,910.0,881.0,1670.0,751.0,2
1032.0,940.0,862.0,1703.0,733.0,2
1087.0,1106.0,755.0,1839.0,906.0,2
1090.0,1119.0,756.0,1811.0,902.0,2
1072.0,1050.0,802.0,1748.0,836.0,2
1101.0,1057.0,797.0,1772.0,863.0,2
1111.0,1086.0,787.0,1802.0,824.0,2
1048.0,1070.0,807.0,1737.0,842.0,2
1197.0,1249.0,698.0,1986.0,1132.0,1
1173.0,1217.0,695.0,1930.0,1175.0,1
1075.0,1079.0,764.0,1798.0,1111.0,2
1067.0,1106.0,745.0,1840.0,1125.0,2
1060.0,1099.0,742.0,1838.0,1077.0,2
1081.0,1099.0,749.0,1854.0,1087.0,2
1017.0,975.0,822.0,1722.0,1014.0,2
836.0,734.0,1035.0,1501.0,801.0,0
831.0,727.0,1038.0,1522.0,802.0,0
804.0,668.0,1102.0,1479.0,753.0,0
798.0,677.0,1092.0,1473.0,696.0,0
966.0,951.0,812.0,1735.0,996.0,2
1277.0,1388.0,611.0,2241.0,1513.0,1
1335.0,1496.0,562.0,2385.0,1598.0,1
1297.0,1353.0,588.0,2128.0,1690.0,1
1041.0,979.0,837.0,1705.0,1053.0,2
1027.0,936.0,867.0,1696.0,931.0,2
1037.0,969.0,841.0,1728.0,865.0,2
1014.0,954.0,865.0,1697.0,818.0,2
1007.0,971.0,866.0,1682.0,802.0,2
998.0,958.0,881.0,1657.0,778.0,2
1014.0,958.0,878.0,1684.0,767.0,2
1157.0,1160.0,738.0,1936.0,1000.0,2
1225.0,1281.0,683.0,2082.0,1143.0,1
1131.0,1194.0,726.0,1907.0,1009.0,2
1111.0,1126.0,754.0,1883.0,1076.0,2
976.0,909.0,878.0,1675.0,830.0,2
1016.0,929.0,868.0,1724.0,853.0,2
1177.0,1156.0,684.0,1983.0,1310.0,1
1013.0,999.0,791.0,1751.0,1119.0,2
886.0,813.0,936.0,1592.0,918.0,2
791.0,658.0,1140.0,1467.0,609.0,0
762.0,618.0,1214.0,1431.0,516.0,0
740.0,568.0,1259.0,1404.0,510.0,0
775.0,628.0,1178.0,1437.0,554.0,0
872.0,833.0,947.0,1598.0,760.0,2
1123.0,1134.0,711.0,1922.0,1170.0,2
1306.0,1522.0,535.0,2450.0,1545.0,1
1237.0,1332.0,605.0,2157.0,1508.0,1
1143.0,1146.0,701.0,1917.0,1292.0,1
1170.0,1168.0,703.0,1949.0,1287.0,1
1116.0,1128.0,739.0,1856.0,1042.0,2
1054.0,1069.0,785.0,1766.0,817.0,2
1083.0,1097.0,765.0,1810.0,847.0,2
1078.0,1069.0,782.0,1780.0,806.0,2
1104.0,1143.0,747.0,1840.0,896.0,2
1170.0,1257.0,693.0,1956.0,1069.0,1
1091.0,1201.0,738.0,1834.0,945.0,2
1216.0,1318.0,673.0,2043.0,1168.0,1
1125.0,1179.0,719.0,1921.0,1065.0,2
971.0,881.0,916.0,1635.0,672.0,2
1062.0,984.0,816.0,1796.0,842.0,2
1140.0,1109.0,714.0,1892.0,1123.0,2
1038.0,992.0,802.0,1731.0,1007.0,2
935.0,836.0,909.0,1604.0,855.0,2
861.0,729.0,1043.0,1528.0,689.0,0
839.0,678.0,1062.0,1478.0,622.0,0
850.0,703.0,1021.0,1511.0,658.0,0
817.0,651.0,1109.0,1472.0,628.0,0
825.0,667.0,1079.0,1475.0,659.0,0
921.0,792.0,943.0,1595.0,799.0,2
1031.0,945.0,806.0,1697.0,964.0,2
1092.0,967.0,801.0,1774.0,910.0,2
1095.0,923.0,843.0,1736.0,999.0,2
1097.0,964.0,822.0,1743.0,853.0,2
1101.0,972.0,819.0,1714.0,752.0,2
1060.0,991.0,833.0,1718.0,778.0,2
732.0,544.0,1353.0,1367.0,466.0,0
809.0,681.0,1108.0,1463.0,609.0,0
934.0,911.0,857.0,1639.0,863.0,2
1132.0,1220.0,691.0,1910.0,1203.0,1
1221.0,1386.0,626.0,2138.0,1412.0,1
1024.0,1111.0,770.0,1753.0,1069.0,2
938.0,987.0,862.0,1597.0,817.0,2
869.0,897.0,965.0,1480.0,649.0,0
846.0,930.0,947.0,1467.0,598.0,0
838.0,868.0,1005.0,1454.0,540.0,0
875.0,912.0,978.0,1504.0,601.0,0
907.0,961.0,920.0,1564.0,668.0,2
889.0,939.0,920.0,1492.0,647.0,2
969.0,1064.0,834.0,1645.0,816.0,2
1051.0,1157.0,760.0,1787.0,963.0,2
1043.0,1181.0,736.0,1813.0,1010.0,2
1043.0,1121.0,736.0,1793.0,967.0,2
1007.0,1027.0,798.0,1737.0,904.0,2
966.0,959.0,838.0,1686.0,852.0,2
920.0,875.0,915.0,1594.0,744.0,2
889.0,831.0,956.0,1570.0,760.0,2
825.0,715.0,1062.0,1462.0,613.0,0
758.0,580.0,1215.0,1374.0,531.0,0
735.0,533.0,1338.0,1350.0,493.0,0
719.0,522.0,1385.0,1343.0,509.0,0
757.0,596.0,1236.0,1381.0,560.0,0
890.0,831.0,922.0,1594.0,826.0,2
1181.0,1255.0,632.0,2002.0,1334.0,1
1332.0,1556.0,523.0,2394.0,1660.0,1
1128.0,1124.0,717.0,1832.0,1362.0,2
1128.0,1126.0,725.0,1856.0,1316.0,2
1064.0,1069.0,766.0,1766.0,1089.0,2
1139.0,1240.0,702.0,1940.0,1129.0,2
1121.0,1214.0,707.0,1912.0,1120.0,2
1032.0,1083.0,776.0,1772.0,916.0,2
1040.0,1022.0,826.0,1747.0,812.0,2
1076.0,1105.0,762.0,1782.0,959.0,2
1177.0,1310.0,656.0,2011.0,1189.0,1
1196.0,1303.0,654.0,2017.0,1199.0,1
1204.0,1381.0,623.0,2085.0,1283.0,1
1166.0,1304.0,646.0,2016.0,1291.0,1
959.0,949.0,857.0,1640.0,949.0,2
1004.0,997.0,813.0,1726.0,1018.0,2
1050.0,1105.0,729.0,1807.0,1122.0,2
965.0,900.0,864.0,1631.0,968.0,2
849.0,744.0,1004.0,1496.0,806.0,0
809.0,666.0,1093.0,1455.0,714.0,0
777.0,609.0,1170.0,1405.0,644.0,0
768.0,591.0,1183.0,1402.0,606.0,0
768.0,597.0,1155.0,1396.0,606.0,0
917.0,842.0,934.0,1656.0,819.0,2
1252.0,1380.0,579.0,2210.0,1462.0,1
1224.0,1268.0,605.0,2046.0,1478.0,1
1277.0,1300.0,608.0,2090.0,1598.0,1
1149.0,1192.0,672.0,1944.0,1449.0,1
1091.0,1082.0,746.0,1790.0,1221.0,2
1053.0,1087.0,763.0,1762.0,1023.0,2
1023.0,1042.0,796.0,1711.0,910.0,2
1085.0,1075.0,767.0,1786.0,913.0,2
1116.0,1120.0,724.0,1854.0,1035.0,2
1111.0,1131.0,735.0,1825.0,1085.0,2
1210.0,1316.0,645.0,2030.0,1278.0,1
1250.0,1339.0,616.0,2075.0,1383.0,1
1297.0,1408.0,595.0,2134.0,1473.0,1
1313.0,1345.0,603.0,2118.0,1507.0,1
1146.0,1084.0,713.0,1829.0,1215.0,2
1199.0,1152.0,685.0,1897.0,1242.0,1
1274.0,1197.0,626.0,2023.0,1356.0,1
1243.0,1072.0,675.0,1978.0,1195.0,1
1054.0,923.0,783.0,1793.0,899.0,2
962.0,778.0,929.0,1645.0,726.0,2
915.0,690.0,983.0,1570.0,743.0,0
871.0,639.0,1062.0,1528.0,684.0,0
877.0,658.0,1047.0,1530.0,779.0,0
893.0,696.0,1008.0,1548.0,801.0,0
1030.0,851.0,824.0,1700.0,983.0,2
1059.0,926.0,783.0,1750.0,989.0,2
1020.0,860.0,864.0,1649.0,875.0,2
1045.0,840.0,879.0,1656.0,807.0,2
1029.0,866.0,874.0,1651.0,727.0,2
959.0,763.0,976.0,1561.0,549.0,0
975.0,798.0,939.0,1576.0,570.0,0
988.0,813.0,927.0,1596.0,596.0,2
971.0,818.0,942.0,1565.0,585.0,0
999.0,899.0,869.0,1629.0,637.0,2
989.0,889.0,889.0,1602.0,664.0,2
1075.0,1020.0,802.0,1732.0,797.0,2
1190.0,1177.0,695.0,1934.0,1046.0,2
1172.0,1108.0,706.0,1878.0,1058.0,2
1256.0,1340.0,594.0,2176.0,1214.0,1
1190.0,1203.0,658.0,1967.0,1056.0,1
1249.0,1310.0,601.0,2114.0,1280.0,1
1072.0,1120.0,711.0,1838.0,1045.0,2
1035.0,1011.0,750.0,1752.0,1039.0,2
839.0,690.0,1030.0,1457.0,640.0,0
833.0,671.0,1061.0,1482.0,705.0,0
804.0,616.0,1144.0,1427.0,662.0,0
811.0,651.0,1097.0,1442.0,579.0,0
1028.0,934.0,818.0,1743.0,987.0,2
1138.0,1141.0,671.0,1927.0,1197.0,2
1203.0,1185.0,649.0,1968.0,1328.0,1
1193.0,1136.0,667.0,1924.0,1370.0,1
1049.0,898.0,858.0,1671.0,921.0,2
1090.0,942.0,828.0,1713.0,876.0,2
1070.0,976.0,808.0,1688.0,819.0,2
1014.0,970.0,826.0,1684.0,763.0,2
972.0,912.0,882.0,1596.0,675.0,2
951.0,880.0,920.0,1539.0,637.0,2
1033.0,1038.0,802.0,1690.0,826.0,2
983.0,1094.0,817.0,1659.0,854.0,2
973.0,1128.0,813.0,1642.0,894.0,2
1083.0,1237.0,737.0,1786.0,1077.0,2
1062.0,1176.0,763.0,1743.0,1121.0,2
1011.0,1122.0,808.0,1680.0,1071.0,2
1054.0,1110.0,765.0,1670.0,1167.0,2
1013.0,1038.0,793.0,1598.0,1162.0,2
870.0,823.0,975.0,1398.0,848.0,0
857.0,769.0,1006.0,1390.0,759.0,0
835.0,739.0,1036.0,1382.0,694.0,0
844.0,759.0,1005.0,1409.0,848.0,0
763.0,622.0,1129.0,1321.0,689.0,0
769.0,606.0,1171.0,1314.0,610.0,0
891.0,790.0,960.0,1466.0,816.0,0
1037.0,993.0,779.0,1680.0,1158.0,2
1090.0,1065.0,728.0,1773.0,1228.0,2
1117.0,1118.0,716.0,1791.0,1323.0,2
1109.0,1074.0,761.0,1734.0,1274.0,2
961.0,939.0,912.0,1508.0,846.0,2
985.0,919.0,918.0,1540.0,737.0,2
960.0,909.0,910.0,1523.0,675.0,2
927.0,806.0,1013.0,1446.0,559.0,0
958.0,795.0,1002.0,1481.0,604.0,0
1019.0,842.0,935.0,1565.0,729.0,2
1010.0,816.0,955.0,1567.0,741.0,2
1030.0,844.0,917.0,1599.0,747.0,2
1100.0,946.0,827.0,1726.0,932.0,2
1079.0,909.0,861.0,1686.0,928.0,2
1036.0,859.0,900.0,1645.0,860.0,2
1085.0,959.0,827.0,1747.0,963.0,2
1214.0,1151.0,683.0,1938.0,1309.0,1
1127.0,1041.0,728.0,1830.0,1266.0,2
1038.0,950.0,776.0,1750.0,1181.0,2
948.0,829.0,873.0,1638.0,937.0,2
953.0,844.0,848.0,1685.0,995.0,2
869.0,723.0,975.0,1522.0,789.0,0
809.0,628.0,1127.0,1490.0,682.0,0
833.0,641.0,1088.0,1496.0,717.0,0
857.0,661.0,1083.0,1511.0,696.0,0
966.0,820.0,913.0,1634.0,807.0,2
1063.0,894.0,823.0,1688.0,1025.0,2
1110.0,996.0,782.0,1771.0,1090.0,2
1055.0,941.0,844.0,1648.0,932.0,2
939.0,828.0,991.0,1486.0,639.0,0
816.0,684.0,1195.0,1285.0,467.0,0
841.0,712.0,1175.0,1339.0,476.0,0
842.0,722.0,1163.0,1294.0,490.0,0
990.0,852.0,967.0,1488.0,669.0,2
1042.0,894.0,916.0,1537.0,800.0,2
1089.0,893.0,879.0,1609.0,791.0,2
1102.0,990.0,799.0,1685.0,849.0,2
1095.0,996.0,799.0,1695.0,934.0,2
1116.0,1075.0,761.0,1784.0,1081.0,2
1105.0,1046.0,777.0,1751.0,1102.0,2
1018.0,950.0,830.0,1636.0,914.0,2
991.0,896.0,857.0,1616.0,926.0,2
923.0,765.0,952.0,1508.0,786.0,0
874.0,679.0,1049.0,1444.0,619.0,0
846.0,662.0,1068.0,1464.0,633.0,0
838.0,632.0,1079.0,1438.0,634.0,0
827.0,656.0,1075.0,1447.0,722.0,0
901.0,763.0,984.0,1552.0,717.0,0
1291.0,1316.0,603.0,2172.0,1445.0,1
1441.0,1606.0,503.0,2568.0,1786.0,1
1363.0,1410.0,565.0,2199.0,1791.0,1
1218.0,1198.0,671.0,1907.0,1413.0,1
1132.0,1091.0,751.0,1795.0,1092.0,2
1103.0,1060.0,770.0,1748.0,940.0,2
1081.0,1053.0,770.0,1773.0,883.0,2
1079.0,1018.0,793.0,1739.0,850.0,2
1167.0,1087.0,741.0,1820.0,928.0,2
1148.0,1037.0,772.0,1720.0,835.0,2
1221.0,1230.0,670.0,1905.0,1157.0,1
1255.0,1283.0,640.0,2023.0,1232.0,1
1245.0,1287.0,635.0,2067.0,1288.0,1
1162.0,1151.0,687.0,1912.0,1143.0,2
1079.0,1020.0,754.0,1760.0,1014.0,2
1091.0,1038.0,744.0,1786.0,1088.0,2
1085.0,1039.0,745.0,1790.0,1092.0,2
1050.0,966.0,780.0,1748.0,1090.0,2
941.0,814.0,873.0,1592.0,979.0,2
891.0,705.0,980.0,1534.0,806.0,0
842.0,624.0,1080.0,1480.0,712.0,0
850.0,639.0,1048.0,1519.0,853.0,0
863.0,652.0,1055.0,1504.0,816.0,0
956.0,784.0,928.0,1634.0,934.0,2
1384.0,1391.0,552.0,2316.0,1548.0,1
1502.0,1631.0,459.0,2622.0,1858.0,1
1219.0,1163.0,642.0,1963.0,1410.0,1
1237.0,1157.0,663.0,1968.0,1334.0,1
1181.0,1078.0,706.0,1870.0,1140.0,2
1251.0,1154.0,682.0,1955.0,1111.0,1
1214.0,1170.0,681.0,1963.0,1054.0,1
1166.0,1062.0,726.0,1825.0,924.0,2
1226.0,1157.0,683.0,1912.0,1041.0,2
1265.0,1229.0,636.0,2040.0,1282.0,1
1317.0,1338.0,593.0,2132.0,1362.0,1
1372.0,1382.0,568.0,2268.0,1441.0,1
1443.0,1443.0,543.0,2332.0,1559.0,1
1200.0,1126.0,664.0,1979.0,1198.0,1
1216.0,1130.0,655.0,1994.0,1246.0,1
1160.0,1070.0,687.0,1929.0,1192.0,2
1194.0,1106.0,667.0,1985.0,1194.0,1
1199.0,1087.0,658.0,1954.0,1252.0,1
965.0,818.0,844.0,1681.0,777.0,2
961.0,801.0,850.0,1683.0,798.0,2
901.0,697.0,952.0,1586.0,800.0,0
864.0,629.0,1052.0,1558.0,728.0,0
952.0,742.0,892.0,1656.0,953.0,2
1009.0,875.0,797.0,1738.0,1060.0,2
1225.0,1155.0,643.0,1992.0,1338.0,1
1245.0,1202.0,628.0,2039.0,1622.0,1
1265.0,1209.0,638.0,2015.0,1812.0,1
1276.0,1241.0,642.0,2024.0,1784.0,1
1232.0,1183.0,675.0,1920.0,1509.0,1
1193.0,1097.0,698.0,1832.0,1139.0,2
1162.0,1117.0,700.0,1857.0,1044.0,2
1126.0,1097.0,723.0,1810.0,1015.0,2
1089.0,993.0,801.0,1675.0,825.0,2
1134.0,1073.0,747.0,1765.0,1022.0,2
1388.0,1418.0,568.0,2250.0,1913.0,1
1506.0,1499.0,506.0,2485.0,2043.0,1
1352.0,1385.0,563.0,2205.0,1661.0,1
1217.0,1227.0,641.0,2040.0,1404.0,1
1149.0,1132.0,688.0,1936.0,1233.0,2
1156.0,1129.0,688.0,1941.0,1181.0,2
1180.0,1122.0,678.0,1921.0,1272.0,1
1109.0,1080.0,696.0,1874.0,1190.0,2
1032.0,974.0,763.0,1800.0,982.0,2
893.0,767.0,918.0,1607.0,805.0,2
848.0,642.0,1079.0,1536.0,654.0,0
850.0,664.0,1038.0,1568.0,727.0,0
938.0,782.0,879.0,1685.0,1001.0,2
948.0,828.0,858.0,1711.0,994.0,2
1225.0,1214.0,625.0,2090.0,1322.0,1
1380.0,1359.0,538.0,2337.0,1617.0,1
1276.0,1138.0,628.0,2021.0,1430.0,1
1246.0,1093.0,667.0,1942.0,1357.0,1
1141.0,996.0,767.0,1805.0,994.0,2
1199.0,1124.0,680.0,1940.0,1054.0,2
1156.0,1056.0,710.0,1842.0,945.0,2
1158.0,983.0,751.0,1803.0,808.0,2
1163.0,1039.0,723.0,1814.0,888.0,2
1078.0,1009.0,767.0,1730.0,787.0,2
1244.0,1219.0,651.0,1949.0,1077.0,1
1236.0,1239.0,637.0,1986.0,1106.0,1
1364.0,1376.0,580.0,2168.0,1356.0,1
1193.0,1196.0,675.0,1888.0,1152.0,1
1078.0,985.0,778.0,1697.0,925.0,2
1140.0,1035.0,726.0,1779.0,1059.0,2
1239.0,1127.0,648.0,1930.0,1201.0,1
1171.0,1093.0,669.0,1862.0,1205.0,2
1065.0,977.0,736.0,1733.0,1103.0,2
1024.0,882.0,791.0,1662.0,1072.0,2
873.0,679.0,1010.0,1501.0,713.0,0
874.0,668.0,1043.0,1513.0,737.0,0
887.0,647.0,1046.0,1500.0,740.0,0
993.0,795.0,888.0,1629.0,770.0,2
1299.0,1225.0,620.0,2077.0,1327.0,1
1529.0,1526.0,476.0,2559.0,1763.0,1
1320.0,1210.0,595.0,2052.0,1477.0,1
1226.0,1168.0,650.0,1952.0,1311.0,1
1105.0,980.0,777.0,1745.0,980.0,2
1160.0,1040.0,720.0,1810.0,961.0,2
1125.0,1051.0,730.0,1771.0,923.0,2
1099.0,1015.0,763.0,1732.0,839.0,2
1124.0,1021.0,745.0,1735.0,827.0,2
1105.0,995.0,778.0,1681.0,821.0,2
1035.0,1043.0,804.0,1647.0,749.0,2
1065.0,1110.0,757.0,1691.0,871.0,2
1051.0,1220.0,739.0,1729.0,1077.0,2
1073.0,1124.0,752.0,1688.0,1175.0,2
1008.0,1004.0,817.0,1588.0,1125.0,2
1090.0,1073.0,745.0,1693.0,1124.0,2
1048.0,983.0,780.0,1643.0,1064.0,2
1131.0,1087.0,705.0,1738.0,1240.0,2
953.0,874.0,854.0,1528.0,899.0,2
897.0,745.0,968.0,1461.0,807.0,0
900.0,750.0,932.0,1494.0,817.0,0
828.0,639.0,1077.0,1371.0,573.0,0
892.0,739.0,964.0,1479.0,768.0,0
914.0,809.0,912.0,1530.0,807.0,2
1096.0,1017.0,722.0,1743.0,1204.0,2
1173.0,1130.0,648.0,1885.0,1401.0,1
1125.0,1016.0,712.0,1725.0,1256.0,2
1079.0,976.0,781.0,1669.0,999.0,2
974.0,930.0,872.0,1536.0,712.0,2
977.0,973.0,865.0,1550.0,712.0,2
912.0,873.0,946.0,1436.0,614.0,0
896.0,817.0,992.0,1426.0,554.0,0
896.0,822.0,1002.0,1391.0,722.0,0
956.0,862.0,930.0,1479.0,636.0,2
970.0,900.0,909.0,1524.0,664.0,2
929.0,869.0,942.0,1454.0,624.0,0
947.0,926.0,905.0,1484.0,659.0,2
1003.0,880.0,864.0,1537.0,695.0,2
1045.0,940.0,822.0,1658.0,920.0,2
1125.0,1035.0,728.0,1726.0,1150.0,2
1138.0,985.0,742.0,1710.0,1141.0,2
1217.0,1060.0,660.0,1840.0,1227.0,2
983.0,831.0,847.0,1585.0,887.0,2
1007.0,864.0,816.0,1639.0,987.0,2
957.0,816.0,846.0,1613.0,903.0,2
914.0,725.0,949.0,1550.0,780.0,0
886.0,702.0,971.0,1528.0,767.0,0
899.0,708.0,972.0,1559.0,780.0,0
942.0,723.0,968.0,1573.0,698.0,0
1022.0,817.0,835.0,1669.0,821.0,2
1009.0,810.0,859.0,1634.0,772.0,2
1025.0,809.0,877.0,1606.0,690.0,2
977.0,783.0,939.0,1543.0,586.0,0
